Abundance,SAMEA728908,SAMEA728622,SAMEA728808,SAMEA728663,SAMEA728854,SAMEA728851,SAMEA728772,SAMEA728755,SAMEA728706,SAMEA728646,SAMEA728680,SAMEA728785,SAMEA728913,SAMEA728876,SAMEA728697,SAMEA728749,SAMEA728887,SAMEA728929,SAMEA728674,SAMEA728602,SAMEA728690,SAMEA728923,SAMEA728791,SAMEA728862,SAMEA728821,SAMEA728920,SAMEA728942,SAMEA728873,SAMEA728933,SAMEA728685,SAMEA728630,SAMEA728611,SAMEA728760,SAMEA728703,SAMEA728805,SAMEA728814,SAMEA728734,SAMEA728665,SAMEA728740,SAMEA728617,SAMEA728899,SAMEA728627,SAMEA728652,SAMEA728783,SAMEA728672,SAMEA728777,SAMEA728902,SAMEA728797,SAMEA728586,SAMEA728835,SAMEA728649,SAMEA728918,SAMEA728843,SAMEA728788,SAMEA728574,SAMEA728831,SAMEA728726,SAMEA728799,SAMEA728916,SAMEA728867,SAMEA728635,SAMEA728700,SAMEA728865,SAMEA728670,SAMEA728717,SAMEA728667,SAMEA728614,SAMEA728950,SAMEA728794,SAMEA728692,SAMEA728884,SAMEA728599,SAMEA728766,SAMEA728582,SAMEA728826,SAMEA728769,SAMEA728890,SAMEA728638,SAMEA728661,SAMEA728894,SAMEA728848,SAMEA728817,SAMEA728925,SAMEA728802,SAMEA728774,SAMEA728763,SAMEA728905,SAMEA728897,SAMEA728589,SAMEA728723,SAMEA728745,SAMEA728720,SAMEA728731,SAMEA728712,SAMEA728780,SAMEA728565,SAMEA728845,SAMEA728570,SAMEA728676,SAMEA728752,SAMEA728643,SAMEA728594,SAMEA728709,SAMEA728859,SAMEA728743,SAMEA728714,SAMEA728910,SAMEA728856,SAMEA728839,SAMEA728658,SAMEA728737,SAMEA728946,SAMEA728655,SAMEA728561,SAMEA728870,SAMEA728938,SAMEA728578,SAMEA728881,SAMEA728812,SAMEA728829,SAMEA728878,SAMEA728728,SAMEA728607,SAMEA728758
s__Candidatus_Pararuminococcus_gallinarum,0.00069,0.00104,0.02,0,0.02268,0.00583,0.01428,0,0,0,0,0.00021,0.00306,0.00155,0,0.00483,0,0,0.00098,0.00171,0,0.00958,0,0,0.00253,0,0.01631,0.00312,0.0088,0.0033,0.00523,0.01021,0.00601,0.00301,0.01106,0.01435,0.00551,0,0,0.00637,0.04417,0,0,0.01829,0.02186,0.00826,0.01118,0,0,0,0.00588,0.00379,0,0.00352,0.00018,0.0013,0.00325,0,0.00234,0.08024,0.09995,0.00386,0.00062,0,0.00384,0.01126,0.00043,0.00795,0.03399,0.01631,0.00217,0,0.02104,0,0.00735,0.01531,0,0,0.00363,0,0.00106,0,0,0,0,0.00935,0.00247,0.00031,0,0.02161,0,0.01211,0.00899,0.0095,0.01172,0.00938,0,0,0,0.00308,0.00345,0.0037,0,0.00171,0.01905,0,0,0,0.00475,0.11526,0.01242,0,0.01393,0.00164,0.06233,0.00131,0.02162,0.00335,0.01167,0.00762,0,0.05429,0,0
s__GGB44117_SGB1808,0.00066,0.00186,0.00401,0.00197,0,0,0.00016,0,0,0.00089,0,0.00041,0.00573,0.00067,0,0,0.01121,0.00566,0,0.02128,0,0.02714,0.01244,0.01046,0.00212,0.10691,0.00288,0,0.00136,0,0,0,0.00131,0,0,0,0.0039,0,0.00336,0.00233,0,0,0,0.00783,0,0.0035,0,0.00597,0,0.00509,0,0.00345,0.00077,0.00095,0,0,0,0.00179,0,0.00286,0,0,0,0.00098,0,0,0.00177,0.01619,0,0.00066,0,0,0,0.00171,0,0.00252,0.00559,0.01297,0.0004,0,0.00637,0,0,0.00032,0.00369,0,0.00191,0.00208,0,0,0,0,0,0.00201,0.00116,0.00068,0,0.00635,0,0,0,0,0.00165,0.00049,0,0,0,0.00702,0,0,0.00048,0.00225,0.00015,0,0,0,0.00015,0,0.00201,0.00169,0,0,0,0
s__Bifidobacterium_ruminantium,0.00065,0,0,0,0,0,0.0024,0.00247,0,0,0,0,0,0,0,0.00028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00835,0,0,0,0,0,0,0,0,0,3e-05,0,0,0.00112,0,0,0.01261,0,0.00076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00166,0,0.00018,0.00153,0,0,0,0,0,0,0,0,0.00017,0,0,0,0,0,0,0,0,0,0,0,0,0.00561,0,0,0,0,0,0,0,0,0,0,0.00218,0,0,0,0,0
s__GGB9787_SGB15410,0.00063,0.00208,0,0,0,0,0,0,0.00561,0,0.0236,0.0043,0.00653,0,0.00648,0.00331,0,0.04506,0.01195,0,0.0032,0,0,0.0148,0,0.00093,0.06085,0.00698,0,0.00465,0,0,0.00418,0,0.0012,0.03549,0,0.00722,0,0,0.05771,0.08632,0.00082,0,0.0276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00305,0.00099,0.004,0.0247,0.00573,0,0,0,0.00833,0.00172,0,0,0.01703,0,0,0,0,0,0,0,0,0,0,0,0.05828,0.01213,0,0,0,0.00984,0,0.00885,0.01134,0,0.00427,0,0,0,0,0,0.00666,0.01329,0.00957,0.06505,0,0,0.01456,0.00476,0,0,0,0.01237,0,0.00218,0.04076,0,0,0.00526,0,0.01015,0,0,0,0,0,0
s__GGB37323_SGB42690,0.0006,0,0.00024,0.00041,0,0,0.00061,0,0,0,9e-05,0,0,0.00542,0,0,0,0,0,0,0,0.00123,0,0.00249,0,0.00134,0,0,0,0.00237,0,0,0,0,0.00094,0,0,0,0.00116,0.00011,0,0,0,0,0.0001,0,0,0,0,0.0009,0,0,0,0,0.00013,0,0,0,0,0.0016,0,0,0,0,0,0,0,0.00317,0,0,0.00098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012,0,0.00754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137,0,0,0,0,0,0,0,0,0,0.00303,0.00177,0,0,0,0.0021,0.0006,0,0
s__Oscillospiraceae_unclassified_SGB15251,0.0006,0.00461,0.00077,0.00131,0,0.00227,0.01269,0,0,0,0.00749,0.00259,0.00985,0,0.00051,0.00176,0.01008,0,0.00134,0.00368,0,0,0,0.01792,0,0,0,0,0,0.07029,0.00332,0,0,0.00107,0,0,0.00438,0,0,0.00036,0.00212,0.00556,0.0061,0.00939,0.00051,0.00972,0,0,0.00159,0,0,0,0.00765,0.00787,0.00708,0.00354,0,0.01168,0.00038,0.00335,0,0.0018,0.00018,0,0.00116,0.00086,0.00197,0.01343,0.00827,0.007,0,0,0,0.00036,0.00221,0,0,0.00158,0,0,0.00509,0.00651,0.00987,0.0067,0,0.0026,0.00202,0.01076,0.00725,0.00095,0,0,0,0.00053,0.00078,0.00532,0,0,0.00181,0.00018,0.00528,0.00152,0,0,0.00656,0.01062,0,0,0,0.00378,0.00254,0,0.00173,0.00069,0,0.0094,0,0,0.002,0,0.00476,0.00163,0,0
s__Bacteroides_heparinolyticus,0.00057,0,0.00124,0.00191,0.0004,0,0.00139,0,0,0,0,0.0019,0.00399,0.00807,0,0.00192,0,0.00327,0,0.02167,0,0.01791,0.01558,0.06101,0.00324,0,0.00166,0,0,0,0.00151,0,0.00079,0,0,0,0.00094,0,0,0.0077,0,0,0,0.01788,0,0.00657,0.00136,0.00458,0,0.00349,0,0.00358,0.00132,0.00069,0.00189,0,0,0.00198,0,0.00084,0,0,0,0,0,0,0.00119,0.0166,0.00033,0.0041,0.00088,0,0,0.00215,0,0.004,0.01289,0.01555,0.00167,0,0.00322,0.00231,0.00055,0.00148,0.00125,0.00046,0.00055,0.00229,0,0,0,0,0,0,0.00087,0.00257,0.00077,0,0,0,0,0,0,0,0,0,0,0.00603,0,0.00153,0.00461,0.0033,0.00102,0,0,0.00234,0.00174,0,0.00267,0.0003,0,0.00224,0,0
s__Bacteroides_helcogenes,0.00056,0,0.00152,0.00124,0.00022,0,0.00017,0,0,0.00077,0,0.00081,0.00168,0.00296,0,0.00047,0,0.00172,0,0.00744,0,0.01072,0.00389,0.02666,0.00083,0,0.00067,0.00022,0,0,0.00057,0,0.00042,0,0,0,0.00093,0,0,0.00293,0.00023,0,0,0.00461,0,0.00327,0.00014,0.00125,0,0.00149,0,0.00232,0.00101,0.00056,6e-05,0,6e-05,0.00032,0,0.00085,0,0,0,0,0,0,0.00029,0.00971,0.00045,0.00192,0,0,0,0.00065,0,0.00306,0.00356,0.00537,0.00074,0,0.00118,0.00047,0.00022,0.00115,0.00051,0.0006,0.00061,0.00116,0,0,0,0,0,0,0.00065,0.0008,0.00023,0,0,0,0,0,0,6e-05,0,0,0,0.00302,0,0.00047,0.00213,0.00164,0.00021,0,0,0.00032,0.00072,0,0.0014,0.00067,0,0.00068,0,0
s__GGB3175_SGB4191,0.00054,0.64698,0,0.13423,0,0.9864,0,0,0.00601,0,0.28274,0.47571,1.30175,0.01422,0.25058,0.22341,0.1296,0,0.04999,0,0.08378,0,0,0,0,0.10533,0,0.39809,0,0,0.59108,0.06051,0.04587,0.11113,0.1702,0.17166,0,0.02837,0,0,0.01039,0.02113,0.00284,0,0.00194,0.06098,0,0,0,0,0,0.07695,0,0.48598,0.01747,0.4173,0.00655,0.17608,0,0,0.12331,0.00324,0.39924,0.02155,0.00023,0.55781,1.46513,0.08685,0,0.00222,0.0576,0,0,0.33561,0.4676,1.02387,0,0,0.36847,0,0.62666,0,0.23925,0.50401,0,0,0,0.14123,0,0.24138,0,0,0.02404,1.6801,0.24025,0.03752,0,0,0.00116,0,0.64905,0.02067,0,1.23733,0,0,0.04988,0,0.57945,1.48397,0,0.05043,0.07128,0.14273,0,0.59581,0,0.12424,0.29019,0,0,0,0.12609,0.1225
s__Anaerotruncus_rubiinfantis,0.00053,0,0,0,0,0,0.00576,0,0,0,0.00259,0,0,0.03303,0,0.00109,0,0.00534,0.0003,0,0.00138,0.02047,0,0.00408,0.00478,0,0.0112,0.00206,0,0,0.00124,0.00174,0,0,0.0005,0,0.00156,0,0,0,0.02913,0.00338,0.00388,0.00109,0.0059,0.00082,0.00329,0,0.00026,0,0,0,0,0.00048,0.00428,0,0.00936,0.00973,0,0,0.00411,0,0.0018,0,0.0048,0.00342,0.00088,0,0.00379,0,0,0,0,8e-05,0,0.00335,0.00258,0,0.01002,0,0.00084,0.00203,0.00567,0.00572,0,0,0.00025,0,0,0.02624,0,0,0,0,0.01164,0,0,0,0,0.00358,0.00405,0.01388,0,0.0023,0.01254,0,0,0,0,0.00307,8e-05,0.00121,0.00636,0.0003,0.03373,0.00368,0.01837,0,0,0,0,0.00025,0,0
s__Clostridiaceae_bacterium_NSJ_33,0.00052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00122,0,0.0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00208,0,0,0,0,0,0,0,0,0,0,0,0,0.00072,0,0,0,0,0,0,0,0,0
s__GGB79741_SGB1950,0.00045,0,0,0.00362,0,0,0.00037,0,0,0,0,0,0,0,0.00049,0,0,0.00328,0,0.0028,0,0.00372,0,0,0.00203,0,0,0,0,0,0,0,0,0,0,0.0007,0.00244,0,0,0.0134,0,0,0,0.00027,0,0,0.00357,0.00328,0,0.00403,0,0.0165,0,0,0,0,0.00275,0,0.00217,0,0,0,0,0.00162,0.00332,0.00256,0.00031,0.01043,0.00115,0.00268,0,0,0,0.00348,0,0.00204,0,0,0,0,0.00165,0.00088,0,0,0.01127,0,0.00388,0,0,0,0,0,0,0,0,0,0,0,0.00016,0,0,0,0.02084,0,0,0,0,0.00096,0,0,0.00476,0,0,0.00293,0,0,0,0,0.0004,0,0,0,0,0.00196
s__GGB9525_SGB14925,0.00044,0.07543,0,0,0,0,0,0,0,0,0.00053,0.03038,0,0,0.00181,0,0,0.00383,0,0,0,0,0,0.00386,0,0,0,0,0,0.01325,0,0,0.01305,0,0,0,0.00701,0,0,0,0,0.01906,0,0,0,0,0.00531,0,0,0,0,0,0,0,0.06096,0,0,0,0,0.00159,0,0.2616,0,0,0,0,0.00421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01124,0.01961,0,0,0,0.00776,0,0,0,0.02726,0,0,0,0,0,0,0,0.00891,0.01101,0.00721,0,0,0,0.01572,0,0,0,0,0,0,0.0033,0,0,0,0,0,0,0,0.026,0.00306,0,0
s__Lawsonibacter_sp_NSJ_51,0.00037,0,0.00248,0,0.00997,0,0.02225,0,0,0,0.00621,0,0,0,0,0,0.0234,0,0,0,0,0.01037,0,0.00206,0,0,0.02249,0.05828,0,0,0,0.01097,0,0,0,0.0324,0,0,0,0,0,0,0,0,0.00357,0.01193,0.00184,0,0,0,0,0,0,0,0,0,0.01515,0,0,0,0.08198,0,0,0,0,0,0,0,0.00972,0.01794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08149,0,0,0,0.0138,0.03184,0,0,0,0,0.01071,0,0.04247,0,0.01328,0,0,0,0,0,0.00451,0,0,0,0.00084,0.00054,0,0.16143,0,0,0,0.00134,0.00284,0,0
s__Phocaeicola_coprophilus,0.00029,0,0,0,0,0,0,0,0.12465,0,0,0,0,0.07489,0,0,0,0,0,0,0.19743,0.00368,0,0,0,0,0,0,0,0,0.00079,0,0,0,0.00075,0.65115,0,0,0,0,0,0,0,0,0,0,0,0,2.38812,0.002,0,0,0.00165,0,0.00109,0,0,0,0,0,0,0,0,2.4156,0,1.13315,0.00045,0.00676,0,0,0,0,0.14312,0,0,0.0002,0,0,2.60896,0,0,0,0,0,0,0,0,0,0,0,2.71769,1.12958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00471,0.04566,1.98804,0,0,0,0,0,0,0,3.06566,0,0,0.38234,0,0,0
s__Bacteroides_faecis,0.00027,0.01767,0.0123,0,0.00078,0,0.2797,0.07198,0,0.01489,0,0,0.00592,0.00371,0,0.32497,0.0027,0.00767,0.01471,0.05249,0.02534,0.01619,1.58534,0,0.00729,0,0.00184,0,0.06109,0.03355,0,0,0,0.00415,0,0.19349,0.01005,0,0.01182,0.01205,0,0,0,0.00673,0.00096,0.02746,0,0.02137,0,0.00995,0,0,0.00257,0.00191,0,0.00467,0,0,0.00256,0.53917,0,0.00079,0,0.00299,0.00116,0.00093,0.59771,0.01275,0,0,0,0,0,0.00368,0.00527,0.75366,0.02783,3.24961,0.36417,0,0.01741,0.20488,0.00262,0.00515,0.02452,0.00202,0.00155,0.00117,0,0.0027,0,0,0,0,0.01357,0.001,0.00926,0.01438,0.00124,0,0,0.00511,0.07152,0.00769,0,0.15334,0.41007,0.01676,0,0.00728,0,0.0063,0.45453,0,0,0,0.00496,0,0.01805,0,0,0.00613,0,0.0058
s__Clostridiaceae_bacterium_NSJ_31,0.00025,0,0.00231,0,0,0,0,0,0,0,0,0,0,0.00522,0,0,0,0,0,0,0,0.00672,0,0,0,0,0.00018,0,0.00097,0,0,0,0,0,0,0.00066,0,0,0,0,0,0.01684,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.00789,0.00117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00029,0,0,0,0,0,0,0,0,0,0.00181,0.0041,0,0,0,0,0,0,0,0.00035,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.00235,0,0,0,0,0,0,0
s__Sutterella_massiliensis,0.00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Bacteroides_oleiciplenus,0.00024,0.00682,0.00234,0.00196,0.00239,0,0,0,0,0,0,0,0,0,0,0,0,0.01339,0,0,0,0.03434,0,0.04843,0,0,0.00068,0,0,6e-05,0,0.00131,0,0.00308,0,0.00231,0.01198,0,0,0.00362,0,0.006,0,0.0013,0.00322,0,0,0,0,0,0,0.00167,0,0,0,0,0,0.00303,0,0,0,0,0,0,0.00163,0.00161,0,0.00446,0,0.00184,0.00257,0,0,0,0,0,0,0,0,0,0.00189,0,0,0.00043,0.00076,0.0029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01266,0.00344,0,0,0,0.00086,0.00013,0,0,0.00649,0.0025,0,0,0,0.00236,0,0.00146,0.03897,0,0.00957,0,0
s__Streptococcus_SGB9214,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB25060_SGB36982,9e-05,0,0,0.00897,0,0,0,0.00127,0,0,0,0,0.00309,0,0,0,0,0,0,0,0,0.00214,0,0.00122,0,0.00302,0,0.00021,0,0.00158,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031,0,0,0,0,0,0.0019,0.00138,0,0,0.00192,0.00088,0,0,0,0,0.00108,0,0,0,0,0,0,0,0.00329,0,0.00159,0,0,0,0,0,0,0.00062,0,0,0,0,0,0,0,0,0,0.00213,0.00194,0.00806,0,0.00105,0,0,0,0,0.00219,0,0,0,0,0,0,0,0,0,0.00159,0,0,0,0,0,0,0,0,0,0.00319,0,0,0,0,0,0,0,0
s__GGB1355_SGB1819,8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00148,0,0,0,0.00078,0,0.00169,0,0.00631,0.00145,0.01308,0,0,0.00017,0,0,0,0,0,0,0,0,0,0,0,0,0.00157,0,0,0,0.00392,0,0.00132,0,0,0,0.00098,0,0,0,0,0,0.77983,0,0,0,0.00642,0,0,0.00142,0,0,0.0018,0.00078,0.01007,0,0,0,0,0,0,0,0.0014,0.00186,0.0052,0.00045,0,0.00054,0,0,0,0,0,0.00212,0.00034,0,0,0.00019,0,0,0,0,0,0,0.00028,0,0,0,0,0,0,0,0,0,0.00146,0,0,0.00121,8e-05,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB1024,34.88514,10.23472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.76773,0,0,4.91623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.62026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.24242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB1903,10.23567,0,0,0,0,0,2.68638,0,0.00608,0.64538,0,0,0,0.07726,0.3574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83509,0.38121,0,0,2.00441,0.91981,0,0,0,0,0,0,0.67763,1.5522,0,0,0,0,0.00829,5.79726,0,0,0,0,4.5099,0.92891,1.68458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03697,0,0,0.00421,0,0,3.72389,1.27618,0,0,0.09413,0,0,0,0,0,0,0,0,0.10671,2.25886,0,0,0,0,0,0,0,0,0,0,0,0,0.00888,0.00356,0.01297,0.02069,0,0,0,0,0.00612,0,0,0,2.23164,0,0,0.24326,0,0,4.75306
t__SGB4933,4.31354,1.35851,9.56194,6.95138,0.12095,7.61661,2.12458,0.53078,0.35887,0.31617,0.01146,0.27334,2.94166,0.35547,1.53443,6.47694,0.09803,0.47045,1.96453,9.01535,0.17379,1.98424,0,0.50641,0.07772,0.45275,0.0537,0.54537,3.62652,0.44615,0.1424,2.74049,2.71319,1.48103,1.34457,6.54651,2.32329,5.24678,5.38327,0.74063,0.1401,3.39828,1.38252,5.55405,0.23372,3.25242,0.13157,1.87549,0.81574,4.46571,1.70569,0.61016,1.05151,0.08362,0.30897,2.68697,1.37269,2.07032,0,3.04146,14.84212,0.91365,1.53276,0.56081,2.33632,0.50529,1.76848,3.09186,0.50123,0.12749,0.48167,0.09746,0.34325,1.35213,0.12507,0,0.44521,8.97005,0.43369,3.65695,0.83228,0.67636,1.80878,2.87286,0.58762,1.57226,0.49539,0.25949,0.46043,0.64516,1.73825,0.43637,1.03382,0.55052,0.61095,4.21573,0.37327,0,0.48208,0.18584,1.90406,3.93301,2.77418,4.05089,0.09687,2.80988,0.60685,5.31709,0.87897,0.39673,1.68647,1.63593,1.43302,6.5588,0,2.3251,1.29352,1.47245,5.19484,0,2.87087,0.85201,0.49752,0.23801
t__SGB4262,4.29746,0.4111,0.85047,0.30856,0,0.09564,0.61385,0,0,0,0.17736,0.11578,0.11246,0,0.03533,1.6528,2.99025,0.00158,0,1.07264,0.1071,0.20434,0,0,0,0.18444,0.33727,0,0.59676,1.32889,0.08541,1.61786,0.98812,0,0.01899,0.00981,1.55336,0.02764,0,0,0.06597,0.05667,0,0,0.0045,1.77895,0.17119,5.24102,0.18251,0.05204,0.84992,0,0.29552,0.07669,0.50064,0,1.76009,0.40694,0.56274,0,0,0.04886,0.43658,0.00052,0.16996,1.25362,0.06295,0.07475,0.05863,0.98968,0.47977,0.74318,0.06239,0.90258,0,0,4.31511,0,0.45364,0,1.19035,0.21181,0.05938,0.11358,0,1.03377,1.16868,0.07425,0,2.12915,0.02603,0.60996,0.00501,0.10352,1.73072,5.75882,0,0,0,0.79615,0.29307,0.0133,0,0.27236,0,0.06669,0.01242,0,0.19065,1.55214,0,0,0.16368,0.5222,0.36022,0.11591,1.07788,0.29287,0.77693,1.31633,0.05741,0.01209,0,0
t__SGB4925,3.65361,1.33342,0,9.14294,0.7401,1.74344,2.78869,26.49423,0.00072,0.45472,0.08816,0.38552,5.08395,0.01008,0.49271,2.73574,1.06372,0,0.13153,0,0.10528,0.84012,0,0.59347,0,5.02933,0.10647,4.35916,0.18193,0.74155,0,2.57534,0.2926,0.08024,0.34615,0.39747,0.88986,0.71437,0,1.92481,0.17795,0.40209,0.04765,1.74912,0.05952,0.70802,0.23388,1.00546,0.02822,5.02878,5.35294,2.12568,0.8503,5.56834,3.24588,0.93669,0.17366,0.23189,0.66353,1.70352,2.7634,0.38968,1.29852,0.20982,1.12434,0.0411,1.51191,1.39722,0.0463,4.00869,2.69109,2.23286,0.73654,2.57384,5.30402,0,3.1135,0,0.50107,0,0,0.22735,1.48396,0.4853,2.43981,0,1.2816,3.03651,2.6341,0.68226,1.87483,0.84314,3.40681,0,0.71017,8.94006,1.73149,0,1.83793,0.04586,4.63183,0.01694,0,0.23421,0,2.41847,0.65115,0,2.13141,2.75315,0.01641,0.86128,0.26765,0.89997,1.60718,3.84298,0.02364,2.43441,5.9192,1.18591,0.38811,0.56709,1.71868,0.05392
t__SGB1836,3.35295,0,6.11491,2.76264,5.33468,1.69779,4.43136,0.04294,0.58184,1.08128,0.10952,2.7641,5.33187,17.86193,0.22239,6.68788,0,1.62021,0.07056,13.09208,0.15121,3.23042,13.76337,13.12733,9.91801,0.0405,3.11319,1.42725,1.5148,0.0879,3.02518,0.76219,2.89115,3.18183,0.59588,1.1602,1.3976,0.55929,0.5028,9.81811,1.47426,0,0.13576,9.76457,0.1695,8.36569,1.4037,6.17244,0.62823,5.03107,0,5.53796,7.68811,1.46435,1.8985,1.17019,2.48499,4.53952,1.56227,0.99261,7.79651,1.18749,0.48705,0.50144,0.90558,1.27496,1.60087,3.25842,1.46214,4.42275,3.20862,4.50054,0.28488,2.99635,3.12586,8.17239,10.09075,11.07881,2.3463,0.59661,3.37759,3.85568,1.93396,3.53433,2.57508,1.97108,0.49425,2.35354,0.01012,2.7036,0.08715,0.09837,0.96646,3.11704,4.37408,5.44819,12.38497,0,0.39861,2.27928,0.59118,3.02384,0,0.98802,0.92387,0.57134,0.33268,6.40874,0.94864,3.92605,7.52769,2.77048,3.05747,1.08877,0,2.75042,4.46842,0.85425,9.96382,1.88324,0.1698,2.13638,0.06439,0.68733
t__SGB4285,2.86545,0.00561,0.3989,1.01467,3.31169,0.38481,8.04731,0,2.0071,0,1.13899,0.46458,1.59704,0.0273,0,0,0,0.61802,1.62333,0,0.05183,0.55896,0.05532,1.41369,1.6576,1.58485,0,1.52943,1.03385,0.92842,0,0.93471,0,0,2.14877,0,0,0,2.8404,1.47768,0,0,0.49661,0.10555,1.83696,1.45323,0.6589,0.45576,0.21647,3.66991,1.21267,0,0,0,2.07079,0,0,0,0,1.81941,0,0.46504,0.23682,0,3.07719,0.60145,0,1.11348,0.02362,0,1.49303,0,0.90778,0,1.86142,0,0,0,0,0,0,0.69271,0.81762,1.69496,1.26091,1.87658,0.11588,1.06105,3.68839,0.01326,0.16974,0.7303,0.17688,0.16192,1.78885,1.69781,0,0,0.00353,0,0.4073,2.26375,0,0.00075,0,3.74669,0,0,0.29727,1.50555,0.66192,1.41854,1.30934,0.00466,13.04526,2.44925,5.67274,1.57893,1.1134,0,1.37916,1.24547,1.54358,0
t__SGB4367,2.42849,0.08122,0.54721,0,0,0,3.61707,0,0.0302,0.03866,0.02667,0,0,0,0,0,0,0,2.62118,2.72718,0.0835,0,0,2.14907,0,0.09566,2.80635,0,0,1.00537,0,0.05742,1.87216,0,0.04406,0,0,0.1314,0,0.0726,0,0,0.04184,2.60177,0.34347,0,0.08701,0,1.51618,0,0,0,0,0.06309,1.02349,0,0,4.30017,0.65827,0,0,2.91446,2.03368,0,0,0,0.09788,2.67464,0.02141,0,0.14896,0,0,0,0,0,0,0,0,0,0.70337,0,1.08198,0,0,0,0.427,0.00537,0.5914,0,0.65115,0.52034,0,0,0.29373,0.60507,0,0,0,0.20438,0,4.5847,0,0,7.91922,0,0.00732,0,0,0,0,0.15761,1.13732,1.03623,2.85492,0.38225,0,0.15082,0,0,0,0,0.45111,0
t__SGB2318,2.12924,0.01841,3.32466,2.31578,0,0,2.40854,0.0982,0.22516,0.02607,2.54804,3.04756,4.24906,0.01036,1.88073,3.37625,0,1.04923,0,0.01363,0.45052,5.54646,0.02063,4.19807,8.41844,0.63394,1.74158,0.01914,0,0.00398,1.28265,1.80445,2.11496,0.80832,0.59944,1.87626,2.74225,0.0269,0.04186,2.2626,0.72366,0.00059,1.61857,0.96938,1.64482,4.5779,2.4678,4.56523,0.2201,0.50293,0.02973,2.04822,0,4.45284,0.91139,1.21434,2.36657,0.02741,2.33129,0.447,1.70831,1.70226,0.04181,0.3079,0.01885,1.34935,2.37227,1.26992,0,0.03739,2.92043,0.00369,1.73331,1.71401,4.59043,1.59569,0,2.07326,2.26314,1.68624,1.64301,1.17922,2.58024,4.616,3.76939,1.81488,1.49278,3.61838,0.00149,2.97138,0.08347,0.03662,0.96113,0,3.54355,3.63738,0,0,2.43638,1.05089,1.29367,1.79455,6.22875,2.14868,0.00714,1.06632,0.80128,0,0.98261,3.56554,1.97998,1.02648,0,1.26977,0.02006,0.94974,1.38725,1.83125,2.69716,0.00252,0.67293,2.7558,0.02845,2.15508
