Abundance,SAMN00045227,SAMN00083009,SAMN00037274,SAMN00040800,SAMN00036649,SAMN00039351,SAMN00034694,SAMN00088343,SAMN00041005,SAMN00037971,SAMN00042702,SAMN00036351,SAMN00032571,SAMN00068173,SAMN00081451,SAMN00038321,SAMN00070934,SAMN00038409,SAMN00043931,SAMN00045483,SAMN00038172,SAMN00032739,SAMN00043289,SAMN00032521,SAMN00037735,SAMN00087897,SAMN00067053,SAMN00041128,SAMN00084528,SAMN00070004,SAMN00037108,SAMN00067023,SAMN00040903,SAMN00043166,SAMN00045293,SAMN00065013,SAMN00039645,SAMN00038465,SAMN00038525,SAMN00077726,SAMN00036435,SAMN00044744,SAMN00045350,SAMN00044394,SAMN00038651,SAMN00041546,SAMN00039569,SAMN00068879,SAMN00071040,SAMN00074599,SAMN00070761,SAMN00069721,SAMN00037236,SAMN00032966,SAMN00040035,SAMN00070431,SAMN00077487,SAMN00040286,SAMN00045047,SAMN00038207,SAMN00041451,SAMN00034376,SAMN00085565,SAMN00033491,SAMN00043355,SAMN00045189,SAMN00034905,SAMN00042087,SAMN00039874,SAMN00032708,SAMN00038919,SAMN00040248,SAMN00037553,SAMN00040599,SAMN00045132,SAMN00069968,SAMN00037178,SAMN00035018,SAMN00036283,SAMN00036482,SAMN00036408,SAMN00037000,SAMN00032498,SAMN00032842,SAMN00036796,SAMN00073223,SAMN00063010,SAMN00045843,SAMN00076528,SAMN00037713,SAMN00044564,SAMN00037072,SAMN00035831,SAMN00034433,SAMN00038739,SAMN00035453,SAMN00072706,SAMN00076268,SAMN00032889,SAMN00074965,SAMN00035677,SAMN00072036,SAMN00083300,SAMN00034120,SAMN00037485,SAMN00032676,SAMN00041186,SAMN00035505,SAMN00078779,SAMN00069909,SAMN00033023,SAMN00039531,SAMN00073407,SAMN00036587,SAMN00035169,SAMN00035531,SAMN00043827,SAMN00037803,SAMN00039793,SAMN00073344,SAMN00040819,SAMN00065722,SAMN00083581,SAMN00039039,SAMN00070308,SAMN00034739,SAMN00063420,SAMN00062293,SAMN00036197,SAMN00069173,SAMN00037313,SAMN00063710,SAMN00044801,SAMN00036881,SAMN00040615,SAMN00062637,SAMN00040202,SAMN00040379,SAMN00037421,SAMN00040485
g__GGB9640,,,,,,,0.01354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00237,0,0,0,0,0.01031,0,0,0,0,0,0,0,0,0,0.0103,0,0,0,0.0043,0,0,0.05003,0,0.00794,0.00233,0,0,0,0,0,0.00553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00956,0,0,0,0,0,0.00348,0,0,0,0,0,0,0.00354,0,0,0.06026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186,0,0,0,0,0,0,0,0,0.15618,0,0,0,0,0,0,0.00266,0,0,0,0,0.00521,0,0,0,0,0,0
g__GGB9737,,,,,,,0.01294,0,0,0,0,0,0.00016,0,0,0.01765,0,0,0,0,0,0,0,0,0,0,0.00062,0,0,0,0,0,0,0,0,0,0,0,0.00784,0,0,0,0.03337,0,0,0,0,0,0.00114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09092,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186,0,0,0,0,0,0
g__GGB3160,,,,,,,0.01229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02401,0,0,0,0,0,0,0,0,0,0,0,0.01632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20216,0,0.0207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB79828,,,,,,,0.01132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB3585,,,,,,,0.00983,0,0,0,0,0,0,0,0,0,0,0,0,0.00839,0,0.00335,0,0.07843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01004,0,0,0,0,0,0,0,0,0,0,0.11258,0,0,0,0,0,0,0,0,0
g__GGB18336,,,,,,,0.00857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB3640,,,,,,,0.00716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB3287,,,,,,,0.0071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB3491,,,,,,,0.00553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00397,0,0,0,0.02589,0,0,0,0,0,0,0,0,0,0,0.01505,0,0,0,0,0,0,0.00559,0,0,0,0,0,0.00044,0.00832,0,0.00297,0,0,0,0,0,0,0,0,0,0,0.00071,0,0,0.00403,0,0,0,0,0,0,0,0.01506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Synechococcus,,,,,,,0.00493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Puniceicoccaceae_unclassified,,,,,,,0.0049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01664,0,0,0,0,0,0.02558,0,0,0,0.02376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01457,0.0185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB33516,,,,,,,0.00405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9110,,,,,,,0.00271,0,0,0,0.07913,0,0,0,0,0,0.00829,0,0,0,0,0,0,0.08828,0,0,0,0,0,0,0,0.01059,0.41547,0,0,0,0,0,0,0,0,0,0.01878,0,0,0,0,0.05987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04111,0,0,0,0,0,0.03963,0.03847,0.00953,0.04557,0,0,0,0,0.0969,0,0,0,0,0,0,0,0,0,0,0,0.0118,0,0,0.35377,0,0,0,0,0,0,0.04892,0,0,0,0.04388,0,0,0,0,0,0,0,0.0099,0,0,0,0,0.01078,0,0,0,0,0,0,0.00346,0,0,0.00235,0,0,0,0,0,0,0,0.16802,0.23116,0
g__GGB35597,,,,,,,0.00239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB3254,,,,,,,0.00198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9093,,,,,,,0.00167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB74665,,,,,,,0.00161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB25158,,,,,,,0.00149,0,0,0,0.00023,0,0.02245,0,0,0,0,0,0,0,0,0,0.00204,0.00051,0,0,0,0,0,0,0,0,0,0.00068,0,0,0,0,0,0,0,0,0.00062,0,0,0,0,0,0.01919,0,0,0,0,0,0,0,0,0,0,0,0.00965,0,0,0.00154,0.0101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01854,0.00564,0,0.02038,0,0,0,0,0,0,0,0.00829,0,0.18535,0,0.00612,0,0,0,0,0,0.00834,0,0,0,0,0,0.0172,0,0,0,0,0,0,0,0.00029,0.00482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03549,0,0,0,0,0,0
g__Lactobacillus,,,,,,,0.00126,0,0,0,0,0,0,0,0,0.14632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00325,0,0,0,0.00481,0.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9661,,,,,,,0.00092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07447,0,0,0,0.00088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9057,,,,,,,0.00072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB34540,,,,,,,0.00037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02117,0,0,0,0.00422,0,0,0,0,0,0.03418,0,0,0,0.00089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0927,0,0,0,0,0,0,0,0,0.03189,0,0,0,0.01383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06912,0
g__GGB1336,,,,,,,0.00027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB27377_SGB13972,,,,,,,4.35711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33052,0,0,0,0,0,0,0,0,0,0,0,0.19188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.43071,0
s__GGB79666_SGB4173,,,,,,,2.37474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05061,0,0,0,0,0.41651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB1549_SGB2133,,,,,,,2.32135,0,0,0,0,0,0.00998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB4567_SGB6308,,,,,,,1.37966,0,0,0,0,0,1.44934,0,0,0,0,0,0,0,0,6.70067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66227,0,0,0,0,3.03364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB4558_SGB6290,,,,,,,1.07262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB4768_SGB6601,,,,,,,0.87276,0,0,0,0,0,0.36661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73935,0,0,0,0.27259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1147,0.01647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB4591_SGB6350,,,,,,,0.79154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20756,0,0,0,0,0,0,0,0,0,0.56992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB4676_SGB6465,,,,,,,0.46749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02786,0,0,0,2.72389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Enterocloster_SGB14313,,,,,,,0.46651,0,0,0,0,0,0.01442,0,0,0,0,0,0,0.0358,0,0.02476,0.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84309,0,0,0,0,0.04162,0,0,0.37948,0,0,0.00415,0.00861,0,0,0,0,0,0.00681,0,0,0.03776,0,0,0,0.7858,0,0,0,0,0,0,0.02901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB1551_SGB2136,,,,,,,0.36834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB4703_SGB6510,,,,,,,0.31936,0,0,0,0,0,0.06195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB9197_SGB14136,,,,,,,0.17581,0,0,0,0,0,0.00876,0.00495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03811,0,0,0,0,0,0.22827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05701,0,0,0,0,0,0,0,0,0,0.1835,0,0,0,0,0,0
s__GGB4564_SGB6302,,,,,,,0.13289,0,0,0,0,0,0.01748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10848,0.00684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB4602_SGB6365,,,,,,,0.12575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB16040_SGB9347,,,,,,,0.11299,0,0,0,0,0,0,3.47592,0,0,0,0,0,0,0,0,0.26108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01609,0.0086,0,0,0,0,0.37888,0,0,0,0,0,0.91509,3.25718,0,0,0,0,0.09464,0,0,0.19155,0,0,0,4.44642,0,0,0,0,0,0,0,0,0,0.17017,4.0847,0,1.63603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10775,2.86365,0,0,0.02641,0,0,0,0,0,0.93102,0.00543,0,0,0,0,0,0
s__GGB4698_SGB6498,,,,,,,0.10928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB79634_SGB101324,,,,,,,0.08727,0,0,0,0,0,0.07397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84953,0,0.16893,0,0,0,0.18596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB4597_SGB6359,,,,,,,0.08052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Roseburia_sp_AM59_24XD,,,,,,,0.07497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12299,0,0,0,0,0,0,0,0,0,0,0.11719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
