Abundance,1000IBD00384,1000IBD00593,1000IBD00198,1000IBD00476,1000IBD00087,1000IBD00560,1000IBD00590,1000IBD00197,1000IBD00700,1000IBD00667,1000IBD00438,1000IBD00230,1000IBD00715,1000IBD00708,1000IBD00236,1000IBD00322,1000IBD00048,1000IBD00216,1000IBD00698,1000IBD00597,1000IBD00720,1000IBD00076,1000IBD00232,1000IBD00662,1000IBD00361,1000IBD00672,1000IBD00074,1000IBD00084,1000IBD00611,1000IBD00612,1000IBD00174,1000IBD00154,1000IBD00249,1000IBD00157,1000IBD00349,1000IBD00250,1000IBD00588,1000IBD00149,1000IBD00371,1000IBD00705,1000IBD00394,1000IBD00001,1000IBD00480,1000IBD00313,1000IBD00691,1000IBD00037,1000IBD00025,1000IBD00393,1000IBD00497,1000IBD00088,1000IBD00137,1000IBD00177,1000IBD01330,1000IBD00487,1000IBD00004,1000IBD00531,1000IBD00208,1000IBD00976,1000IBD00375,1000IBD00134,1000IBD00628,1000IBD00453,1000IBD00327,1000IBD00193,1000IBD00675,1000IBD00358,1000IBD00511,1000IBD01011,1000IBD00467,1000IBD00370,1000IBD00683,1000IBD00078,1000IBD00470,1000IBD00529,1000IBD00172,1000IBD00546,1000IBD00490,1000IBD00235,1000IBD00171,1000IBD00450,1000IBD00196,1000IBD00586,1000IBD00252,1000IBD00710,1000IBD00365,1000IBD00616,1000IBD00579,1000IBD00067,1000IBD00673,1000IBD00184,1000IBD00167,1000IBD00237,1000IBD00389,1000IBD00049,1000IBD00031,1000IBD00266,1000IBD00541,1000IBD00427,1000IBD00426,1000IBD00653,1000IBD00539,1000IBD00403,1000IBD00239,1000IBD00722,1000IBD00058,1000IBD00428,1000IBD00502,1000IBD00639,1000IBD00095,1000IBD00606,1000IBD00206,1000IBD00341,1000IBD00379,1000IBD00347,1000IBD01328,1000IBD00146,1000IBD00640,1000IBD00431,1000IBD00444,1000IBD00412,1000IBD00526,1000IBD00475,1000IBD00122,1000IBD00099,1000IBD00433,1000IBD00693
g__GGB4605,,,,0.04925,0,0.05006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0678,0,0,0.05016,0.12902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10473,0,0,0,0,0,0,0,0.11741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00507,0,0
g__GGB77437,,,,0.04913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00825,0,0,0,0,0,0,0,0,0,0.0427,0,0,0.00582,0,0
g__GGB3351,,,,0.04702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367,0,0,0,0,0,0,0,0,0,0,0,0,0.02922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB4566,,,,0.04514,0,0,0,0,0,0,0,0.00617,0,0,0,0,0,0,0,0,0,0,0.10904,0,0,0.13117,0,0.00525,0,0,0,0.02769,0.00616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19615,0,0,0,0.06751,0,0,0,0,0.0486,0,0,0,0,0,0,0.02979,0,0,0,0,0,0,0,0,0.08426,0,0,0,0,0,0,0,0,0,0,0.01078,0,0,0,0,0,0,0,0,0.01984,0,0,0,0,0,0,0,0.25346,0,0.0068,0,0,0,0,0.06443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9787,,,,0.04344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00245,0.0506,0,0.2919,0,0,0,0.06651,0,0,0,0,0,0,0.11263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03831,0,0,0,0,0,0,0,0,0,0,0,0,0.04792,0,0,0,0,0,0,0.07624,0,0,0,0,0,0.06075,0,0
g__GGB6518,,,,0.04283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05682,0,0,0,0,0,0,0,0,0,0,0,0,0.00822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB2652,,,,0.04103,0,0,0,0,0,0,0,0,0,0,0,0,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01851,0,0,0,0,0,0,0,0,0,0.0307,0,0,0,0,0,0,0,0,0,0.02441,0,0,0,0,0,0,0,0
g__GGB9696,,,,0.04096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377,0,0,0,0,0,0,0,0
g__Erysipelatoclostridium,,,,0.03622,0.13152,0,0.0168,0.10812,0.10963,0.00544,0.02214,0.01213,0,0.01372,0.02144,0,0.05436,0.0063,0.0215,0.10079,0.02661,0,0,0,0,0,0.02721,0,0,0.06335,0,0,0.23608,0,0,0,0,0.00179,0.10981,1.95648,0.08282,0,0,0,0,0.00383,0,0.67858,0,0,0,0.0652,0.01322,1.02284,0,0,0,0,0.01177,0,0,0,0,0,0.17013,0.01257,0.01632,0.01795,0,0,0,0.01685,0.76285,0.07104,0.01121,0,1.07888,0.20059,0,0.02816,0,0.57403,0,0,0,0.0397,0.07302,0.01126,0.21272,0,0,0.02059,0,0.01129,0.01338,0,0,0,0.03648,0.07631,0.00481,0,0,0,0.01026,0.08609,0.45739,0,0.00286,0,0,0,0.03814,0,0,0.15004,0,0.03721,0,0.03239,0,0.22319,0,0,0,0.01494
g__GGB13493,,,,0.03399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03678,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0.41731,0,0,0,0,0.01911,0,0,0,0,0,0.02404,0,0,0,0,0,0,0.03856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00844,0,0,0,0,0,0,0,0.27491,0,0,0,0,0,0,0,0,0,0,0,0,0.13886,0,0,0,0,0,0,0,0,0,0,0,0,0.0029,0,0
g__GGB4711,,,,0.03252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9262,,,,0.03089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9291,,,,0.0303,0.16322,0,0,0,0,0,0,0,0,0,0,0.6945,0,0,0,0,0,0.27669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Cloacibacillus,,,,0.02644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9361,,,,0.02574,0,0,0,0,0,0,0.53311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12949,0,0,0,0,0,0,0.18093,0,0,0,0,0,0,0,0.88464,0,0,0,0,0,0,0,0.06063,0,0,0,0,0,1.93141,0,0,0,0.02328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15187,0,0,0.02254,0,0.01952,0,0,0,0,0.09546,0.06216,0,0,0,0,0,0,0.53677,0,0,0,0,0,0,0,0.19525,0.33818,0
g__GGB3619,,,,0.02543,0,0,0,0,0,0,0,0,0,0,0,0.36576,0,0,0,0,0.03213,0,0,0.19766,0,0,0,0,0,0,0,0,0,0,0.04754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14841,0,0,0,0,0.11096,0,0,0,0,0,0,0,0.03232,0,0,0,0,0.00553,0,0,0,0,0,0,0,0.74979,0,0
g__GGB2983,,,,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00947,0,0,0,0,0,0,0,0,0.02955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507,0,0,0,0.0621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03683,0,0.00342,0,0,0,0.02196,0.01742,0,0.07654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9781,,,,0.01869,0.10762,0,0,0,0,0,0,0,0,0,0,0.01408,0,0,0,0,0,0.02937,0,0,0,0,0,0.09824,0,0,0,0,0,0,0.01182,0,0.04035,0,0,0,0,0,0,0,0,0.18907,0,0,0,0,0,0,0,0,0,0,0.05009,0,0,0,0.05149,0,0,0,0,0,0,0.0041,0,0,0,0,0,0.02326,0,0,0,0,0,0.03799,0.07124,0,0,0.03731,0,0,0,0,0,0,0.00202,0,0.01916,0,0,0,0,0.01015,0,0,0,0.00494,0,0,0,0,0,0.02784,0,0,0,0,0,0,0,0.02289,0,0,0,0,0,0,0,0.06683,0,0
g__GGB9117,,,,0.01863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Christensenellaceae_unclassified,,,,0.01786,0.01137,0,0,0.00095,0.05823,0,0,0.01351,0,0,0,0.06117,0.04903,0,0,0,0.04077,0,0,0.0053,0,0.00022,0,0.14682,0,0,0,0,0.04481,0,0.03374,0.00393,0,0,0,0,0,0,0,0,0.07236,0.01306,0,0.02917,0,0.05517,0.02357,0,0,0,0,0,0.01606,0,0.02108,0,0.03886,0,0,0,0,0,0,0,0,0,0,0,0,0.00057,0,0,0,0.03083,0,0.01169,0.02323,0,0,0.00786,0,0,0,0,0,0,0,0,0,0,0.01099,0,0.00291,0.00945,0,0,0,0.00474,0,0,0,0,0,0.02356,0.01892,0,0,0.05015,0,0,0,0.00287,0.01511,0,0.01184,0.01551,0.0343,0,0,0.00519,0.0367,0
g__GGB9533,,,,0.01624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB4570,,,,0.01551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Candidatus_Pararuminococcus,,,,0.01534,0.00503,0,0,0,0,0,0,0.00637,0,0,0,0.03053,0.05226,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0.01298,0,0.00537,0,0,0,0,0,0,0,0,0,0,0.03233,0,0,0,0,0.03605,0,0,0,0,0,0.01604,0,0.00471,0,0,0,0,0,0,0,0,0.00057,0,0,0.01699,0,0.00484,0,0,0,0,0,0,0.03732,0.02482,0,0,0.00639,0,0,0,0,0,0,0,0.0021,0,0,0.02011,0.01349,0,0,0,0,0,0.00524,0,0,0,0,0,0.00279,0.00091,0,0,0,0,0,0,0.01144,0.00395,0,0,0.00039,0.00399,0,0,0.00543,0.00242,0
g__GGB33586,,,,0.01445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00057,0,0,0,0,0,0,0,0,0,0,0.00567,0,0,0,0,0,0.00978
g__GGB9611,,,,0.01439,0,0,0,0,0,0,0,0,0,0.01497,0,0,0,0,0,0,0.0121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00309,0.07511,0,0,0,0,0,0.04177,0,0,0.04575,0,0,0,0,0,0.00171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB34228,,,,0.01428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00706,0,0,0,0,0,0,0,0,0,0,0,0,0.01659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB51960,,,,0.01407,0,0.03657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02598,0,0,0,0,0,0.10843,0,0.06726,0,0,0,0,0,0.03831,0,0,0,0.12918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09334,0,0,0,0,0,0,0,0,0,0.01768,0,0,0,0,0,0,0.01161,0
g__Leuconostoc,,,,0.01315,0,0,0,0,0,0.26671,0,0,0,0,0,0,0,0,0,0.18559,0,0,0,0,0,0.0342,0,0,0,0,0,0.05443,0,0,0,0,0,0,0.00829,0,0,0,0,0.00853,0,0,0.02827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02887,0,0,0,0,0,0,0,0,0,0.01266,0.08099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01131,0,0,0,0,0,0.02946,0,0,0,0,0,0.13715,0,0,0,0,0.06207,0,0,0.0023,0,0.04234,0,0,0,0,0,0.02251,0,0.13754,0.01192,0,0,0
g__GGB9101,,,,0.01277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9832,,,,0.01087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03738,0,0,0,0,0,0,0,0,0,0,0,0
g__Candidatus_Allobutyricicoccus,,,,0.00896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08287,0,0,0,0,0,0.03748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00041,0,0,0,0,0,0,0.19189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB52283,,,,0.00741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9630,,,,0.00739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9444,,,,0.00737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Hungatella,,,,0.00647,0.00325,0,0,0.00652,0,0,0,0,0,0,0,0,0.00206,0,0,0.00936,0,0,0,0,0.01122,0,0,0,0,0,0,0.00399,0.02716,0,0,0.03489,0,0,0.02376,0,0,0,0,0,0,0.01021,0,0.0468,0,0.01416,0,0,0,0,0,0,0.07889,0.00994,0,0,0.15232,0,0,0,0.02368,0,0,0,0,0,0,0,0,0.00278,0,0,0,0.05308,0.03594,0,0,0,0,0.0141,0,0,0,0,0.2813,0,0,0,0,0,0,0.00961,0,0,0,0.00909,0,0,0,0.0075,0,0,0,0.00532,0,0,0,0.02053,0,0.0759,0.34087,0,0,0,0,0,0,0,0,0,0,0
g__GGB51959,,,,0.00628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01054,0.02137,0,0,0,0,0,0.0223,0,0,0.09507,0,0,0,0.03994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055,0,0,0.02665,0,0,0,0,0,0,0.05135,0,0.01717,0,0,0,0,0,0,0.02399,0,0.02392,0.00471,0,0,0,0,0,0,0,0,0,0.00877,0,0.03163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01863,0.03528,0,0,0,0,0
g__GGB49418,,,,0.00616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9591,,,,0.00604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Candidatus_Schneewindia,,,,0.00599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00535,0,0,0,0,0,0,0.00305,0,0
g__GGB9258,,,,0.00588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00568,0,0,0,0,0,0,0,0
g__GGB9088,,,,0.0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15997,0,0,0,0,0,0,0,0,0,0,0,0,0.0079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB3614,,,,0.00376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9759,,,,0.00262,0,0.05154,0,0,0,0.05839,0.02624,0,0,0,0,0,0,0,0,0,0,0.0278,0,0,0,0,0,0.04714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09072,0,0.03903,0,0.0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01644,0,0,0,0,0,0,0,0,0.04736,0,0,0,0.03239,0,0,0,0.12143,0,0,0,0,0,0.02034,0.00047,0,0,0,0,0,0,0,0,0.04796,0.07361,0,0.02578,0,0,0,0,0,0.00372,0,0,0,0.08433,0,0.00934,0,0,0.0397
g__Candidatus_Geddesella,,,,0.00259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Anaerotruncus,,,,0.00255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01293,0,0.01873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00581,0,0.02839,0.01828,0,0,0.00538,0,0,0.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
