Abundance,SAMN08049672,SAMN08049695,SAMN08049714,SAMN08049741,SAMN08049706,SAMN08049711,SAMN08049696,SAMN08049774,SAMN08049635,SAMN08049632,SAMN08049768,SAMN08049646,SAMN08049737,SAMN08049675,SAMN08049730,SAMN08049630,SAMN08049621,SAMN08049679,SAMN08049628,SAMN08049704,SAMN08049757,SAMN08049735,SAMN08049686,SAMN08049725,SAMN08049747,SAMN08049661,SAMN08049731,SAMN08049629,SAMN08049770,SAMN08049709,SAMN08049745,SAMN08049634,SAMN08049693,SAMN08049698,SAMN08049697,SAMN08049655,SAMN08049775,SAMN08049699,SAMN08049623,SAMN08049759,SAMN08049669,SAMN08049729,SAMN08049749,SAMN08049776,SAMN08049717,SAMN08049716,SAMN08049740,SAMN08049666,SAMN08049761,SAMN08049739,SAMN08049754,SAMN08049712,SAMN08049701,SAMN08049636,SAMN08049760,SAMN08049744,SAMN08049746,SAMN08049660,SAMN08049772,SAMN08049631,SAMN08049733,SAMN08049755,SAMN08049642,SAMN08049644,SAMN08049756,SAMN08049674,SAMN08049773,SAMN08049718,SAMN08049764,SAMN08049688,SAMN08049670,SAMN08049687,SAMN08049627,SAMN08049752,SAMN08049734,SAMN08049763,SAMN08049622,SAMN08049668,SAMN08049722,SAMN08049692,SAMN08049707,SAMN08049727,SAMN08049650,SAMN08049648,SAMN08049762,SAMN08049640,SAMN08049677,SAMN08049682,SAMN08049719,SAMN08049671,SAMN08049685,SAMN08049736,SAMN08049691,SAMN08049656,SAMN08049765,SAMN08049724,SAMN08049684,SAMN08049618,SAMN08049750,SAMN08049700,SAMN08049681,SAMN08049738,SAMN08049715,SAMN08049659,SAMN08049645,SAMN08049619,SAMN08049683,SAMN08049702,SAMN08049651,SAMN08049690,SAMN08049637,SAMN08049751,SAMN08049643,SAMN08049766,SAMN08049680,SAMN08049723,SAMN08049676,SAMN08049641,SAMN08049767,SAMN08049620,SAMN08049720,SAMN08049728,SAMN08049713,SAMN08049647,SAMN08049721,SAMN08049705,SAMN08049703,SAMN08049710,SAMN08049625,SAMN08049748,SAMN08049664,SAMN08049624,SAMN08049708,SAMN08049649,SAMN08049662,SAMN08049732,SAMN08049743,SAMN08049633,SAMN08049758,SAMN08049742,SAMN08049657,SAMN08049654,SAMN08049658,SAMN08049694,SAMN08049726,SAMN08049665,SAMN08049678,SAMN08049626,SAMN08049653,SAMN08049652,SAMN08049771,SAMN08049753,SAMN08049673,SAMN08049663,SAMN08049667
f__FGB1292,,,,,,0.00654,0,0,0,0,0,0,0,0,0.00193,0.09115,0,0,0,0,0,0,0,0,0,0.28186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16788,0,0.07912,0,0,0,0.13087,0,0.03882,0,0,0,0.00128,0.54563,0,1.57594,0.03855,0.00123,0,0,0,0,0,0,0.04592,0,0,0.02255,0,0,0,0,0,0,0.03978,0,0.80418,0.09637,0.00309,0,0,0,0,0.07031,0.05784,0,0,0,0,0,0,0.00144,0,0.06745,0,0.00749,0.36741,0,0.81034,0,0,0,0,0.01172,0,0,0.06404,0,0.06643,0,0,0,0,0,0,0.0556,0,0,0,0,0,0,0,0,0.00486,0,0,0,0,0.08988,0,0,0,0.04622,0,0,0,0,0.02082,0.19634,0,0,0.26458,0,0,0,0,0
f__FGB9581,,,,,,0.00481,0,0,0,0,0,0.01898,0,0,0.00849,0,0.03772,0,0,0,0.07414,0,0,0,0,0,0.00027,0,0,0,0.0503,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07731,0,0.00351,0.01165,0,0,0,0,0,0,0,0.00934,0.00017,0.03199,0.004,0,1.77715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1394,0.11253,0,0,0,0,0,0,0,0,0,0.01044,0,0,0.1265,0,0,0,0.08962,0.00517,0,0,0,0,0,0,0,0.05347,0,0,0,0.02221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03678,0,0,0,0,0,0.01482,0,0,0.06656,0,0,0,0.11293,0.00029,0,0,0.0002,0,0,0
f__FGB3022,,,,,,0.00351,0,0,0,0,0.01638,0,0,0,0,0,0,0,0.14542,0,0,0,0,0.37044,0,0,0,0.08457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09186,0.10378,0,0,0,0,0,0,0,0,0,0,0,0.40606,0,0,0.11953,0,0,0,0,0,0,0,0,0,0,0.05348,0,0,0,0,0,0,0,0,0,0,0,0,0.04988,0,0,0,0,0,0,0.00468,0.00891,0,0.01407,0,0,0,0,0,0,0,0.04043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f__Candidatus_Nanogingivalaceae,,,,,,0.00218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00634,0.00396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f__FGB1227,,,,,,0.00131,0,0,0,0,0.02391,0,0.13004,0.07941,0,0.14436,0,0.0389,0,0,0,0.03839,0.1782,0.11901,0.06098,0,0.00803,0.07697,0,0,0.00687,0,0.0207,0,0,0.20522,0,0,0,0,0,0,0,0,0,0,0.05141,0,0,0.12622,0.00293,0.0091,0.00793,0,0,0,0.10209,0,0.02856,0.44883,0,0,0,0.04893,0,0,0,0.75655,0,0,0,0.07144,0,0,0,0,0,0,0,0,0,0,0.18499,0.00718,0.07101,0,0,0,0,0.71071,0.03186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01612,0,0.08314,0.03028,0,0,0,0,0.03084,0.02826,0,0.00594,0,0,0,1.81749,0,0,0.08005,0.263,0,0,0.02942,0,0,0,0,0,0,0.19431,0,0,0,0,0,0,0,0.00728,0,0,0,0,0.15192,0,0.008,0.00958,0,0,0,0,0
g__GGB9568,,,,,,0.73245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0583,0,0,0.94597,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9158,,,,,,0.64035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9758,,,,,,0.59934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82697,0.79849,0,0,0,0,0,0,0,0,1.79311,0,0,0,0,0,0,0,0,0,0,0,1.51013,0,0,0,0,0,0,0,0,0,0,0,0,1.32251,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17592,0,0,0,0,0,0,0.52593,0,0,0,0,0,0,0,0,0.06791,0.00587,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52636,0,0,0,0,0,0,0.44756,0,0,0,0,0,0,0,0,0,4.40781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99212,0,0.41733,0,0,0.44687,0,0,0,0,0,0,2.64055,0,0,0,0,0
g__GGB3278,,,,,,0.41495,0,0,0,0,0,0,1.15711,0,0,1.15265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41263,3.9613,0,0,0,0,0,0,0,0,0,0,0,0,0.27643,0,0.9323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Akkermansia,,,,,,0.39577,0,0,0,0.04475,0.93563,6.40661,8.67534,0.00037,0,0,0,2.18884,0,0,0,0.29275,15.40682,0,0,0.87721,1.14382,0,0,0,0,0.79529,2.98954,0,0,0,0,0.00073,0.0668,0,8.96745,0.00092,0.00051,1.8778,0,0,1.42141,0.00183,0,6.09622,0,0,0.80137,0,0,0,0.95329,0,0,0.08448,0.00142,0.15098,0,4.70977,0,0,0,0.70619,3.86044,0,0,0,0.01187,0.00726,2.0704,0,1.57955,0.00255,0,0,22.34885,0,0,0,0.6738,0,0.09475,9.64232,0,0.56623,29.88628,0.00135,0,0,0,0,0,3.67521,0,0,0,0,0,0.1094,8.61784,0,0.93156,0,0,6.36222,0,0.00043,0.02135,0.03513,0,0,0.04329,0,0,18.86894,0,0,3.0378,12.56718,0,0,0.40518,0.00517,0.00095,0.03861,41.78139,0.00038,0,0,17.85115,0,0,5.663,0.00043,0,0,0.01699,1.50247,0,0,0.00158,8.64982,0.00116,0,0,0,0.00295,0,0.00033,0
g__GGB4651,,,,,,0.29759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.99504,0,0,0,0,0,0,0,0,0,0,0,1.87167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Evtepia,,,,,,0.21122,0,0.1892,0,0,0.39121,0,0,0.52368,0,0,0,0.49712,0,0.71537,0.57217,0,0,0.24592,0,0.00528,0,0,0,0,0.11457,0,0,0,1.04365,0.48179,0.14823,1.33659,0,0.37902,0,0,0,0.63484,0,0,0.29124,0.42797,0,0.81412,0.35946,0,0,0,0,0,0,0,0,0.60927,0,0,0.30688,0.64241,0,0,0,0,0.58282,0,0,0.97052,0,0,0,0,0,0,0,0,0,0,1.00452,0.45402,0,1.58694,0,0.55105,0,0,1.05771,0,0,0,0,0,0.21755,0.43722,0,0,1.05874,0,0.96625,0.34268,0.50095,0,1.76017,0.85874,0,1.29188,0,0,0.28256,0.21582,0,0.3925,0,0,0,0,0,0,2.15057,0,0,0,0.33219,0,0.226,0,0,0,0,0,0,0,0,0,0,0,0,0.37693,0.468,0,0,0,0.8075,0,0,0.52288,0,0.00637,0.06326,0,0
g__Desulfovibrio,,,,,,0.17074,0,0.02063,0.11956,0,0,0,0.02742,0,0,0,1.48147,0,0.43808,0,0,0,0.00487,0.66562,0,0,0.72367,0,7.2444,0,0.87664,0.9405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10975,0,0,0.00031,0,0,0,0,2.40854,0,0,0,0,0,0,0.0122,0,0,0,0,0,0.03463,0,1.16805,0.10796,0,0,0.1327,0,0.00509,0,0,0,0,0.74776,0,0,0,0,0,0,0,0,0,0.05366,0,0,0,0,0,0,0,0,0,0,0,0.02346,0,0,0.08977,0,0,0,0,0,0,0.16325,0,0.78078,0,0,0,0,0,0,0,0.04459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62991,0.01614,0,0.52324,0,0,0,0,0,0.01536,0.83216,0,0.05847,0,0,0
g__Candidatus_Howiella,,,,,,0.07079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB3534,,,,,,0.06378,0,0,0,0,0.00551,0,0.00068,0,0,0.11662,0,0,0,0,0,0,0,0.00942,0,0,0.00176,0.08046,0,0,0.01136,0,0.01801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01192,0,0,0,0.00626,0.03732,0,0.01127,0.02141,0,0,0,0,0.22147,0,0,0,0.00518,0,0,0.01037,0,0,0,0,0,0,0,0,0,0,0.04147,0,0.00125,0,0,0,0,0.03265,0,0,0,0,0,0,0.00019,0,0,0,0.05469,0.01756,0.01651,0,0,0.01591,0,0.00828,0,0,0,0,0,0,0,0,0,0,0,0.00327,0.0352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00293,0,0,0.01156,0,0.00927,0.00218,0,0,0,0,0.0513,0,0,0,0,0,0,0
g__GGB9708,,,,,,0.05355,0,0,0,0,0,0.08759,0,0,0,0,0,0,0,0,0,0,3.30618,0,0,3.34881,0,0,0,0,0,0,0,0,0,0.22058,0,0,0,0,0,0,0,0,0,0,0.17043,0,0,0,0,0,0.55682,0,0,0,1.1758,0,0.59346,0,0.63503,0,0,0.71572,0,0,0,0.22858,1.70638,0,0,0,0,0,0.28361,0,0,0,0,0,0,0,0.43748,0.03223,0.28505,0,0,0,0,0,0,0.04137,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2798,0,0,0,0,0,0,0,0,0,0.58158,0,0,0,0,0,0,0.4033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36087,0,1.0045,0,0.42159,0,0,0,0,1.61431,0,0.02981,1.64718,0,0,0,0,0
g__GGB74213,,,,,,0.04951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Faecalicoccus,,,,,,0.0486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01926,0.21841,0,0,0.00641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB3034,,,,,,0.0466,0,0,0,0.02472,0,0.00148,0.00364,0.00421,0,0.01545,0,0,0,0.05111,0,0,0,0.00095,0.01553,0,0,0.09293,0,0,0.0023,0,0,0,0,0.01527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01503,0,0,0,0.05462,0,0,0,0.0081,0,0,0,0.10536,0,0,0.03272,0.01274,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00578,0,0.0021,0.00397,0,0,0,0.06825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00736,0.04298,0,0.02351,0,0,0,0,0,0,0.01912,0,0,0,0,0,0,0,0,0,0,0.02603,0,0,0.00326,0,0,0.00178,0,0.00812,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Turicibacter,,,,,,0.03446,0,0,0.08006,0,0,0.05025,0.00027,0,0.00714,0.08835,0,0.00916,0.03221,0,0,0.0049,0,0,0,0.035,0.00096,0.04569,0,0,0.00033,0,0.00613,0,0,0.01324,0.00183,0,0,0,0,0,0,0,0,0,0.01382,0.0378,0.00883,0,0,0.04213,0,0,0,0,0,0,0,0,0.004,0,0,0.01657,0.0227,0,0,0.00215,0.0708,0,0,0.04476,0,0,0,0.00351,0,0,0,0,0,0.11353,0.00053,0.00323,0,0.0019,0,0,0,0,0.15262,0,0,0.02146,0,0.00776,0.14791,0,0,0,0,0.01066,0,0.0181,0.07853,0.06887,0.0543,0,0,0,0.04141,0,0,0,0,0,0,0,0,0.05018,0,0,0.07333,0.01649,0,0,0.00737,0,0,0.08206,0,0.04719,0,0.02112,0,0,0.02714,0,0,0.0223,0,0,0,0,0.0395,0,0.01468,0.0077,0.31319,0,0.02221,0.79828,0.08568,0,0
g__GGB9620,,,,,,0.03365,0,0,0,0,0,0,0,0,0,0.02955,0,0.09054,0,0.00058,0,0.0096,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36856,0,0,0.00182,0,0,0,0,0,0,0,0.00166,0,0.01802,0,0,0.05204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53744,0,0,0,0,0,0,0,0,0,0.22333,0,0,0,0,0,0,0.05378,0.00058,0,0.07637,0,0,0,0,0,0,0,0,0,0,0.00265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39979,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Candidatus_Pseudobutyricicoccus,,,,,,0.03056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04852,0,0,0.02936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05974,0.02391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04448,0,0,0,0,0,0,0.00595,0,0,0,0,0,0,0,0,0,0,0,0,0.03569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05711,0.03138,0,0.13471,0,0,0,0,0,0,0,0,0,0
g__GGB3817,,,,,,0.02774,0,0,0,0,0,0,0,0,0,0,0,0,0.05144,0.00674,0,0,0,0,0,0,0,0,0,0.10987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03368,0,0,0,0,0.0554,0,0,0,0,0,0,0,0,0,0,0,0,0.28432,0,0.02981,0,0.06822,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443,0.08454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02911,0,0,0,0,0,0.11009,0,0,0,0,0,0,0,0,0,0,0.08087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9524,,,,,,0.02407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.12903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53249,0,0,0.66159,0,0.35765,0.05543,0,0,0,0.0718,0,0,0,0,0,0,0.36089,0,0,0,0.03643,0.45954,0,0,0.18271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30021,0,0.08131,0,0,0,0,0,0,0.5371,0.13018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21809,0,0,0,0.25829,0.03094,0,0,0,0,0,0,0.15023,0,0,0,0,0
g__GGB3499,,,,,,0.02097,0,0,0,0.00568,0,0,0,0.09605,0,0,0,0,0,0,0,0,0.3496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28696,0.26686,0,0,0.46206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB45432,,,,,,0.01877,0,0,0,0,0.19758,0.00465,0.03094,0.01234,0,0.27231,0,0.05839,0,0.15919,0.02931,0.0058,0,0.0485,0.03961,0.04415,0.03213,0,0,0,0.0302,0,0,0,0,0.09471,0.02525,0,0,0,0,0,0,0.04304,0,0,0.0279,0.00282,0,0.07805,0,0,0.03322,0,0,0,0.01867,0,0.02366,0.07554,0,0,0,0.03662,0,0,0,0.12894,0.10085,0,0,0.23795,0,0,0.04968,0,0,0,0,0,0,0,0.23371,0.05365,0.02297,0,0.00026,0,0,0.03263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03842,0.06017,0.05299,0,0,0,0,0.00507,0,0.03471,0.00883,0,0.03134,0,0,0,0.22658,0,0,0.19054,0.17108,0,0,0.30816,0,0,0,0,0,0,0.07539,0,0,0,0.00944,0,0.02829,0,0.02109,0.00575,0,0.19713,0,0.00845,0,0.00102,0.00866,0,0,0,0,0
g__GGB9788,,,,,,0.01655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02301,0.01238,0,0,0,0,0,0.05421,0,0,0,0,0,0,0,0,0,0.00316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01445,0,0,0,0,0,0,0.16215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03458,0,0,0,0,0,0,0.00545,0,0,0,0,0
g__GGB3722,,,,,,0.01553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06528,0,0,0,0,0
g__GGB3257,,,,,,0.01279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15525,0,0,0,0,0,0,0,0,0,0
g__Gordonibacter,,,,,,0.01242,0,0,0,0.02581,0.04953,0.02368,0.0559,0.1611,0,0.00473,0.03176,0.03017,0.00138,0.05891,0.02105,0.07736,0,0.00539,0.07257,0.14328,0.01742,0.0611,0,0,0,0,0.00407,0,0.00968,0.30561,0,0,0,0.02086,0,0,0,0.14742,0.06916,0,0.11637,0.12859,0,0.5047,0.00453,0.00542,0.02919,0,0,0.02463,0.11921,0.24749,0,0.18509,0.18367,0,0.05654,0.19356,0.08589,0,0,0.05658,0.08892,0,0.00951,0,0,0,0.00067,0.01257,0.04373,0,0,0,0,0.00579,0.44265,0.08352,0.04734,0.18834,0.02357,0.0283,0,0.10266,0.11911,0.1161,0,0.22115,0,0,0,0.13112,0,0,0,0,0,0,0.27127,0.07329,0.03368,0.40362,0,0,0.01149,0,0,0,0,0.00608,0,0,0,0.60386,0.13073,0,0.29954,0.48967,0,0.20566,0,0,0.01442,0,0,0,0,0.04749,0,0,0,0.02582,0,0,0,0.03006,0.36879,0,0,0.03197,0.00088,0,0.09712,0.00889,0,0,0.14758,0,0
g__Massilioclostridium,,,,,,0.01241,0,0.00017,0.03936,0,0,0,0.00769,0.00839,0,0.00541,0.02767,0,0.01827,0,0,0,0.00169,0.00342,0.01179,0,0.01273,0.00085,0,0,0.00197,0,0.00618,0,0,0,0,0,0.0213,0,0,0,0,0,0,0,0,0,0,0.0218,0,0,0.0003,0,0,0.02189,0.00219,0.00152,0.00224,0.00689,0,0,0,0,0,0,0,0.00238,0.00861,0,0,0.01314,0,0,0,0,0,0,0,0.00913,0,0,0,0,0,0.0246,0,0,0,0,0,0,0.03504,0.00894,0,0.00048,0.0104,0,0,0,0.03502,0,0.04376,0,0,0,0,0,0,0.00455,0,0,0,0,0,0.00417,0,0,0,0,0,0,0,0,0,0.00964,0.00053,0,0,0,0,0,0,0,0,0,0.00872,0,0,0.00335,0,0,0,0.00083,0.01378,0.00913,0.0505,0,0.0018,0,0,0,0,0,0
g__Massilistercora,,,,,,0.01062,0,0,0,0,0.07098,0,0.00637,0,0,0,0,0,0,0,0.01768,0,0.01317,0.27374,0,0,0.01433,0.66222,0,0,0,0,0,0,0,0.00535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42039,0.20059,0,0,0,0.22717,0,0.05212,0,0,0,0,0,0,0,0,0.05253,0.36049,0,0,0.79071,0,0,0,0,0,0,0,0,0,0,0.49473,0,0.01179,0,0,0,0,0.14372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07159,0,0,0,0,0,0,0.024,0.17894,0,0,0,0,0,0,0,0,0,0,0,0,0.02372,0,0,0,0,0,0,0.00848,0,0,0,0,0,0.04354,0,0.18589,0.19215,0,0,0,0.21669,0,0,0,0,0,0,0,0
